"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","SGIP1",1391.57120415036,-0.477422339514632,0.144675456153373,0,1,1
"2","NECAP2",375.979519143413,0.236531004699286,0.141432091449597,0,1,1
"3","AZIN2",341.880171568652,-0.231925675917291,0.174451717612275,0,1,1
"4","AGBL4",175.612657426663,-0.660870620873134,0.212220535973749,-0.286827194144228,0.774244639499886,1
"5","CLIC4",1351.81276913095,0.180695851811524,0.314928127978557,0,1,1
"6","SLC45A1",255.020106103628,-0.627502636469199,0.162219593434516,-0.169539547516504,0.865372268153901,1
"7","TGFBR3",517.948114996868,0.180030053482723,0.176937817734674,0,1,1
"8","DBT",599.099255386256,-0.0376553040185523,0.117497235759541,0,1,1
"9","PRUNE1",267.038936575535,0.146469633183221,0.104713903344101,0,1,1
"10","C1orf21",2165.75943068527,-0.0272599820435951,0.125473730703997,0,1,1
"11","RFWD2",525.029033283627,-0.0541976844932716,0.0794001157137644,0,1,1
"12","LIN9",42.1240865195583,0.313050597314857,0.147829262920386,0,1,1
"13","PRKCZ",1320.73893866434,0.0154350227638697,0.146612727251947,0,1,1
"14","PRDM16",675.774076473982,0.0848733838001419,0.226846546507415,0,1,1
"15","ICMT",623.188898007446,0.175687810744014,0.102459795922855,0,1,1
"16","CAMTA1",2243.49325752423,-0.431703602739848,0.161592741706234,0,1,1
"17","C1orf159",207.560102262162,-0.159678499768212,0.168574663078693,0,1,1
"18","PRAMEF18",0,NA,NA,NA,NA,NA
"19","PRAMEF10",0,NA,NA,NA,NA,NA
"20","PRAMEF33P",0,NA,NA,NA,NA,NA
"21","PINK1-AS",68.2597697227395,0.112451500991085,0.167860148658575,0,1,1
"22","EPHB2",331.256152237001,-0.0804533233061899,0.16864213844172,0,1,1
"23","LOC105378614",1.28232103253945,-0.535025340894949,0.784228579303223,0,1,1
"24","PINK1",1431.43660448744,-0.138588721110352,0.111128967984001,0,1,1
"25","USP48",1023.46747923484,0.0567418717191586,0.099613664585396,0,1,1
"26","STMN1",3426.76866786495,-0.385244572701845,0.23067757394457,0,1,1
"27","NUDC",1229.01737527957,-0.147599683767197,0.15122612972867,0,1,1
"28","EPB41",542.009884243926,0.447428107803208,0.231486044598994,0,1,1
"29","PUM1",2068.41789137777,0.0474366846773545,0.0854418139644925,0,1,1
"30","KHDRBS1",1063.97308716407,-0.294027352193033,0.112175705830116,0,1,1
"31","EYA3",524.6321737776,0.19044440886935,0.0995897687824769,0,1,1
"32","SFPQ",2752.21467904377,0.0299898626312305,0.120672833250422,0,1,1
"33","THRAP3",1785.79964766682,-0.17941274597035,0.0977291587327822,0,1,1
"34","MACF1",23634.1407945458,0.143909006505766,0.113351584548223,0,1,1
"35","CSMD2",1351.54285982251,0.149070407127814,0.118823565031194,0,1,1
"36","RNF220",2227.28181501874,0.447297182896388,0.198171627298152,0,1,1
"37","TRABD2B",12.7852588231192,0.413105849456692,0.409473173632745,0,1,1
"38","PTPRF",4478.76474405714,-0.0929596599659271,0.102065921775626,0,1,1
